graph,strategy,ranks,time_s,reachable,max_depth
large_dense,1D,1,0.020997,100000,4
large_dense,1D,2,0.010245,100000,4
large_dense,1D,4,0.005961,100000,4
large_dense,1D,8,0.005427,100000,4
large_dense,1D,16,0.007711,100000,4
large_dense,2D,1,0.021197,100000,4
large_dense,2D,4,0.006823,100000,4
large_dense,2D,9,0.004192,100000,4
large_dense,2D,16,0.003283,100000,4
large_powerlaw,1D,1,0.005861,100000,3
large_powerlaw,1D,2,0.003833,100000,3
large_powerlaw,1D,4,0.002589,100000,3
large_powerlaw,1D,8,0.001818,100000,3
large_powerlaw,1D,16,0.001511,100000,3
large_powerlaw,2D,1,0.006828,100000,3
large_powerlaw,2D,4,0.004043,100000,3
large_powerlaw,2D,9,0.003089,100000,3
large_powerlaw,2D,16,0.002725,100000,3
large_sparse,1D,1,0.009387,99996,7
large_sparse,1D,2,0.005603,99996,7
large_sparse,1D,4,0.004360,99996,7
large_sparse,1D,8,0.003483,99996,7
large_sparse,1D,16,0.003470,99996,7
large_sparse,2D,1,0.011029,99996,7
large_sparse,2D,4,0.005218,99996,7
large_sparse,2D,9,0.004011,99996,7
large_sparse,2D,16,0.003451,99996,7
